MONTH,DLY-PRCP-PCTALL-GE001HI,DLY-SNOW-PCTALL-GE030TI,rain_snow_ratio,Monthly_Heating_Degree
1,13578.0,2819.0,4.81660163178432,29.161290322580644
2,12568.0,2203.0,5.70494779845665,26.75
3,12927.0,1658.0,7.796743063932449,22.741935483870968
4,10848.0,592.0,18.324324324324323,17.866666666666667
5,8566.0,80.0,107.075,10.838709677419354
6,4876.0,0.0,,4.7
7,2132.0,0.0,,1.1935483870967742
8,1966.0,0.0,,1.4516129032258065
9,3516.0,0.0,,5.366666666666666
10,6764.0,0.0,,13.774193548387096
11,11281.0,946.0,11.924947145877379,24.433333333333334
12,13553.0,2617.0,5.178830722200994,29.741935483870968
